UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
217873,384.0,485.0,79.0,305.0,0.0,0.0,305.0,240.0,79.0,,,,,,,13.0
217882,4575.0,6258.0,73.0,4585.0,0.0,0.0,4585.0,4236.0,92.0,8.0,0.0,0.0,8.0,1.0,13.0,16.0
217891,55.0,68.0,81.0,30.0,0.0,0.0,30.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,,10.0
217907,188.0,476.0,39.0,211.0,0.0,0.0,211.0,133.0,63.0,2.0,0.0,0.0,2.0,1.0,50.0,12.0
217925,162.0,381.0,43.0,165.0,0.0,0.0,165.0,109.0,66.0,13.0,0.0,0.0,13.0,5.0,38.0,13.0
217934,170.0,397.0,43.0,191.0,0.0,0.0,191.0,106.0,55.0,16.0,0.0,0.0,16.0,6.0,38.0,11.0
217961,225.0,295.0,76.0,295.0,0.0,0.0,295.0,218.0,74.0,1.0,0.0,0.0,1.0,1.0,100.0,9.0
217989,160.0,312.0,51.0,96.0,0.0,0.0,96.0,44.0,46.0,10.0,0.0,0.0,10.0,5.0,50.0,14.0
217998,268.0,370.0,72.0,230.0,0.0,0.0,230.0,146.0,63.0,45.0,0.0,0.0,45.0,20.0,44.0,15.0
218025,428.0,1141.0,38.0,372.0,0.0,0.0,372.0,231.0,62.0,182.0,0.0,0.0,182.0,76.0,42.0,17.0
218061,611.0,1509.0,40.0,697.0,0.0,0.0,697.0,450.0,65.0,2.0,0.0,0.0,2.0,1.0,50.0,13.0
218070,647.0,688.0,94.0,653.0,0.0,0.0,653.0,573.0,88.0,,,,,,,9.0
218113,1450.0,4278.0,34.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,17.0
218140,829.0,2796.0,30.0,757.0,0.0,0.0,757.0,477.0,63.0,225.0,0.0,0.0,225.0,90.0,40.0,23.0
218159,,,,11.0,0.0,0.0,11.0,10.0,91.0,4.0,0.0,0.0,4.0,1.0,25.0,20.0
218195,,,,5.0,0.0,0.0,5.0,4.0,80.0,1.0,0.0,0.0,1.0,1.0,100.0,20.0
218229,838.0,1230.0,68.0,892.0,0.0,0.0,892.0,592.0,66.0,7.0,0.0,0.0,7.0,1.0,14.0,16.0
218238,324.0,530.0,61.0,278.0,0.0,0.0,278.0,181.0,65.0,5.0,0.0,0.0,5.0,2.0,40.0,11.0
218335,,,,,,,,,,,,,,,,8.0
218353,1433.0,3757.0,38.0,1295.0,1.0,0.0,1294.0,606.0,47.0,554.0,0.0,0.0,554.0,201.0,36.0,17.0
218399,118.0,163.0,72.0,90.0,0.0,0.0,90.0,36.0,40.0,,,,,,,10.0
218414,415.0,509.0,82.0,328.0,0.0,0.0,328.0,226.0,69.0,0.0,0.0,0.0,0.0,0.0,,14.0
218441,487.0,810.0,60.0,429.0,0.0,0.0,429.0,305.0,71.0,2.0,0.0,0.0,2.0,0.0,0.0,13.0
218487,177.0,795.0,22.0,158.0,0.0,0.0,158.0,107.0,68.0,53.0,0.0,0.0,53.0,23.0,43.0,13.0
218520,576.0,2015.0,29.0,502.0,0.0,0.0,502.0,308.0,61.0,296.0,0.0,0.0,296.0,122.0,41.0,11.0
218539,269.0,380.0,71.0,215.0,0.0,0.0,215.0,147.0,68.0,,,,,,,11.0
