UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
166018,1,2,240803.0,375888.0,147.0,13041.0,156261.0,17403.0,91599.0,271247.0,623895.0,895142.0,6960.0,13073.0,20033.0,1,717.0,568.0,1.0,11.84,3.62,0.0,5.61,2.61,1.0,543582.0,1,162711.0,36214.0,200928.0,20578.0,257720.0,0.0,114071.0,114071.0,1078084.0,915373.0
166027,1,2,14534270.0,2905860.0,1669.0,646870.0,742932.0,597404.0,307197.0,15778544.0,3957658.0,19736202.0,205581.0,580428.0,786009.0,1,25658.0,96506.0,1.0,811.54,391.1,75.76,262.19,82.49,29.0,56138193.0,1,23953550.0,16632505.0,22319217.0,4469740.0,43421462.0,493642.0,38596923.0,39090565.0,162603770.0,138650220.0
166045,2,2,51200.0,258400.0,8.0,1790.0,0.0,330.0,51131.0,53320.0,309539.0,362859.0,607.0,2008.0,2615.0,1,2.0,64.0,1.0,1.0,1.0,0.0,0.0,0.0,,,-2,,,,,,,,,,
166054,1,2,58788.0,7542.0,81.0,3572.0,974.0,1818.0,118968.0,64178.0,127565.0,191743.0,1170.0,3974.0,5144.0,1,58.0,105.0,1.0,4.76,2.0,0.0,0.0,2.76,0.0,191748.0,1,106105.0,14058.0,42149.0,62411.0,118618.0,3937.0,231893.0,235830.0,652301.0,546196.0
166124,1,2,402766.0,383808.0,194.0,20452.0,109529.0,6768.0,102352.0,429986.0,595883.0,1025869.0,7905.0,271588.0,279493.0,1,3062.0,3055.0,1.0,43.65,19.0,0.0,14.65,10.0,3.0,1834893.0,1,685974.0,367808.0,1592547.0,67313.0,2027668.0,10487.0,155573.0,166060.0,4714595.0,4028621.0
166133,1,2,38920.0,72467.0,99.0,2767.0,100573.0,0.0,59403.0,41687.0,232542.0,274229.0,818.0,80367.0,81185.0,1,136.0,143.0,1.0,12.5,3.0,1.0,4.5,4.0,0.0,603694.0,2,0.0,7805.0,79434.0,7453.0,94692.0,0.0,16022.0,16022.0,714408.0,714408.0
166391,1,2,28723.0,201559.0,109.0,2572.0,39492.0,25.0,131036.0,31320.0,372196.0,403516.0,9233.0,15698.0,24931.0,1,6519.0,2102.0,1.0,9.04,5.0,0.0,0.0,4.04,0.0,394124.0,2,0.0,17218.0,220274.0,2823.0,240315.0,0.0,21925.0,21925.0,656364.0,656364.0
166407,1,2,173.0,74.0,17.0,0.0,0.0,3.0,49.0,176.0,140.0,316.0,175.0,500.0,675.0,1,94.0,18.0,1.0,1.6,1.0,0.0,0.6,0.0,0.0,93950.0,2,0.0,7200.0,119000.0,200.0,126400.0,150.0,0.0,150.0,220500.0,220500.0
166452,1,2,75767.0,243834.0,98.0,1422.0,91211.0,334.0,66076.0,77523.0,401219.0,478742.0,974.0,151995.0,152969.0,1,641.0,467.0,1.0,10.3,4.0,4.0,0.0,2.3,1.0,544402.0,1,155873.0,39046.0,433966.0,17083.0,490095.0,20210.0,64163.0,84373.0,1274743.0,1118870.0
166489,2,2,22837.0,13.0,6.0,10703.0,2108.0,333.0,0.0,33873.0,2127.0,36000.0,590.0,2311.0,2901.0,1,1.0,1.0,1.0,1.25,0.25,0.0,0.0,1.0,,,-2,,,,,,,,,,
